date,total_sales,day_of_week,month_name,day,year
2016-08-25,1465.2,Thursday,August,25,2016
2016-08-26,1373.1,Friday,August,26,2016
2016-08-27,1948.8,Saturday,August,27,2016
2016-08-28,1311.7,Sunday,August,28,2016
2016-08-29,943.4,Monday,August,29,2016
2016-08-30,1236.4,Tuesday,August,30,2016
2016-08-31,1530.6,Wednesday,August,31,2016
2016-09-01,1309.6,Thursday,September,1,2016
2016-09-02,1572.5,Friday,September,2,2016
2016-09-03,3357.4,Saturday,September,3,2016
2016-09-04,2241.1,Sunday,September,4,2016
2016-09-05,983.0,Monday,September,5,2016
2016-09-06,1219.35,Tuesday,September,6,2016
2016-09-07,1513.35,Wednesday,September,7,2016
2016-09-08,952.95,Thursday,September,8,2016
2016-09-09,2214.7,Friday,September,9,2016
2016-09-10,3141.35,Saturday,September,10,2016
2016-09-11,2671.3,Sunday,September,11,2016
2016-09-12,896.5,Monday,September,12,2016
2016-09-13,973.2,Tuesday,September,13,2016
2016-09-14,855.75,Wednesday,September,14,2016
2016-09-15,1059.45,Thursday,September,15,2016
2016-09-16,2256.1,Friday,September,16,2016
2016-09-17,4588.95,Saturday,September,17,2016
2016-09-18,3566.2,Sunday,September,18,2016
2016-09-19,819.2,Monday,September,19,2016
2016-09-20,1027.4,Tuesday,September,20,2016
2016-09-21,733.2,Wednesday,September,21,2016
2016-09-22,933.0,Thursday,September,22,2016
2016-09-23,1963.45,Friday,September,23,2016
2016-09-24,4847.35,Saturday,September,24,2016
2016-09-25,2885.1,Sunday,September,25,2016
2016-09-26,672.55,Monday,September,26,2016
2016-09-27,943.3,Tuesday,September,27,2016
2016-09-28,701.6,Wednesday,September,28,2016
2016-09-29,1361.5,Thursday,September,29,2016
2016-09-30,2492.8,Friday,September,30,2016
2016-10-01,5698.65,Saturday,October,1,2016
2016-10-02,3127.2,Sunday,October,2,2016
2016-10-03,538.6,Monday,October,3,2016
2016-10-04,653.3,Tuesday,October,4,2016
2016-10-05,846.15,Wednesday,October,5,2016
2016-10-06,426.8,Thursday,October,6,2016
2016-10-07,2659.25,Friday,October,7,2016
2016-10-08,5370.7,Saturday,October,8,2016
2016-10-09,4302.35,Sunday,October,9,2016
2016-10-10,326.5,Monday,October,10,2016
2016-10-11,1278.9,Tuesday,October,11,2016
2016-10-12,7427.6,Wednesday,October,12,2016
2016-10-13,734.8,Thursday,October,13,2016
2016-10-14,2509.05,Friday,October,14,2016
2016-10-15,5945.1,Saturday,October,15,2016
2016-10-16,4219.45,Sunday,October,16,2016
2016-10-17,422.2,Monday,October,17,2016
2016-10-18,214.95,Tuesday,October,18,2016
2016-10-19,713.1,Wednesday,October,19,2016
2016-10-20,532.1,Thursday,October,20,2016
2016-10-21,2929.9,Friday,October,21,2016
2016-10-22,8457.8,Saturday,October,22,2016
2016-10-23,5901.7,Sunday,October,23,2016
2016-10-24,714.1,Monday,October,24,2016
2016-10-25,2991.37,Tuesday,October,25,2016
2016-10-26,1047.65,Wednesday,October,26,2016
2016-10-27,1528.5,Thursday,October,27,2016
2016-10-28,2114.2,Friday,October,28,2016
2016-10-29,5418.0,Saturday,October,29,2016
2016-10-30,3791.95,Sunday,October,30,2016
2016-10-31,2687.8,Monday,October,31,2016
2016-11-01,3431.1,Tuesday,November,1,2016
2016-11-02,601.05,Wednesday,November,2,2016
2016-11-03,641.6,Thursday,November,3,2016
2016-11-04,2784.75,Friday,November,4,2016
2016-11-05,8149.05,Saturday,November,5,2016
2016-11-06,4826.0,Sunday,November,6,2016
2016-11-07,278.0,Monday,November,7,2016
2016-11-08,1744.2,Tuesday,November,8,2016
2016-11-09,4341.35,Wednesday,November,9,2016
2016-11-10,1053.0,Thursday,November,10,2016
2016-11-11,2984.3,Friday,November,11,2016
2016-11-12,8062.6,Saturday,November,12,2016
2016-11-13,4627.7,Sunday,November,13,2016
2016-11-14,576.0,Monday,November,14,2016
2016-11-15,504.5,Tuesday,November,15,2016
2016-11-16,850.1,Wednesday,November,16,2016
