date,total_sales,day_of_week
2017-05-05,3467.8,Friday
2017-05-06,8582.05,Saturday
2017-05-07,282.3,Sunday
2017-05-08,610.0,Monday
2017-05-09,605.0,Tuesday
2017-05-10,848.15,Wednesday
2017-05-11,711.35,Thursday
2017-05-12,2240.7,Friday
2017-05-13,4002.7,Saturday
2017-05-14,2892.0,Sunday
2017-05-15,1526.75,Monday
2017-05-16,372.5,Tuesday
2017-05-17,401.5,Wednesday
2017-05-18,451.9,Thursday
2017-05-19,2287.0,Friday
2017-05-20,4962.05,Saturday
2017-05-21,3048.03,Sunday
2017-05-22,470.5,Monday
2017-05-23,402.25,Tuesday
2017-05-24,830.1,Wednesday
2017-05-25,1092.5,Thursday
2017-05-26,2688.8,Friday
2017-05-27,3977.4,Saturday
2017-05-28,3833.5,Sunday
2017-05-29,351.5,Monday
2017-05-30,924.3,Tuesday
2017-05-31,947.8,Wednesday
2017-06-01,1377.7,Thursday
2017-06-02,1936.75,Friday
2017-06-03,3633.95,Saturday
2017-06-04,2866.9,Sunday
2017-06-05,1093.2,Monday
2017-06-06,924.0,Tuesday
2017-06-07,897.9,Wednesday
2017-06-08,931.6,Thursday
2017-06-09,2107.85,Friday
2017-06-10,4139.05,Saturday
2017-06-11,3180.45,Sunday
2017-06-12,1311.8,Monday
2017-06-13,1033.4,Tuesday
2017-06-14,1376.5,Wednesday
2017-06-15,1139.35,Thursday
2017-06-16,2532.65,Friday
2017-06-17,4292.7,Saturday
2017-06-18,3522.15,Sunday
2017-06-19,1193.4,Monday
2017-06-20,1803.8,Tuesday
2017-06-21,2122.85,Wednesday
2017-06-22,1340.45,Thursday
2017-06-23,6046.55,Friday
2017-06-24,3430.5,Saturday
2017-06-25,3184.6,Sunday
2017-06-26,910.6,Monday
2017-06-27,1222.3,Tuesday
2017-06-28,1277.5,Wednesday
2017-06-29,1760.55,Thursday
2017-06-30,1833.5,Friday
2017-07-01,2922.2,Saturday
2017-07-02,1305.9,Sunday
2017-07-03,688.2,Monday
2017-07-04,1210.0,Tuesday
2017-07-05,1168.2,Wednesday
2017-07-06,2711.6,Thursday
2017-07-07,4355.7,Friday
2017-07-08,4232.55,Saturday
2017-07-09,1990.1,Sunday
2017-07-10,822.7,Monday
2017-07-11,984.4,Tuesday
2017-07-12,1395.1,Wednesday
2017-07-13,1471.1,Thursday
2017-07-14,1158.0,Friday
2017-07-15,2670.55,Saturday
2017-07-16,1957.4,Sunday
2017-07-17,928.0,Monday
2017-07-18,1121.75,Tuesday
2017-07-19,1720.0,Wednesday
2017-07-20,809.3,Thursday
2017-07-21,1451.7,Friday
2017-07-22,3044.85,Saturday
2017-07-23,1594.0,Sunday
2017-07-24,747.0,Monday
2017-07-25,1206.3,Tuesday
2017-07-26,1306.8,Wednesday
2017-07-27,1114.4,Thursday
2017-07-28,879.8,Friday
2017-07-29,2812.2,Saturday
2017-07-30,2324.7,Sunday
2017-07-31,1151.9,Monday
2017-08-01,1215.9,Tuesday
2017-08-02,1593.8,Wednesday
2017-08-03,1132.3,Thursday
2017-08-04,1558.1,Friday
2017-08-05,2497.5,Saturday
2017-08-06,1632.7,Sunday
2017-08-07,824.3,Monday
2017-08-08,923.8,Tuesday
2017-08-09,1235.2,Wednesday
2017-08-10,1029.0,Thursday
2017-08-11,1708.95,Friday
2017-08-12,1825.9,Saturday
2017-08-13,1786.6,Sunday
2017-08-14,1045.55,Monday
2017-08-15,1640.85,Tuesday
2017-08-16,743.3,Wednesday
2017-08-17,1501.9,Thursday
2017-08-18,1527.95,Friday
2017-08-19,2112.0,Saturday
2017-08-20,1616.7,Sunday
2017-08-21,639.9,Monday
2017-08-22,1258.8,Tuesday
2017-08-23,1267.4,Wednesday
2017-08-24,1093.9,Thursday
2017-08-25,1555.3,Friday
2017-08-26,2151.4,Saturday
2017-08-27,2238.4,Sunday
2017-08-28,2868.55,Monday
2017-08-29,1002.4,Tuesday
2017-08-30,1715.2,Wednesday
2017-08-31,1425.05,Thursday
2017-09-01,1606.3,Friday
2017-09-02,2613.3,Saturday
2017-09-03,2044.45,Sunday
2017-09-04,705.3,Monday
2017-09-05,1223.4,Tuesday
2017-09-06,1059.3,Wednesday
2017-09-07,1140.9,Thursday
2017-09-08,1213.25,Friday
2017-09-09,4196.65,Saturday
2017-09-10,2251.7,Sunday
2017-09-11,754.8,Monday
2017-09-12,927.3,Tuesday
2017-09-13,1081.85,Wednesday
2017-09-14,455.2,Thursday
2017-09-15,2812.15,Friday
2017-09-16,7579.45,Saturday
2017-09-17,463.1,Sunday
2017-09-18,396.8,Monday
2017-09-19,754.5,Tuesday
2017-09-20,864.0,Wednesday
2017-09-21,1031.7,Thursday
2017-09-22,2013.35,Friday
2017-09-23,4855.5,Saturday
2017-09-24,2553.0,Sunday
2017-09-25,554.2,Monday
