date,day_type,holiday_type,holiday_name
2016-11-28,laborable,,
2016-11-29,laborable,,
2016-11-30,laborable,,
2016-12-01,laborable,,
2016-12-02,laborable,,
2016-12-03,sábado,,
2016-12-04,domingo,,
2016-12-05,laborable,,
2016-12-06,festivo,Festivo nacional,Día de la Constitución
2016-12-07,laborable,,
2016-12-08,festivo,Festivo nacional,Inmaculada Concepción
2016-12-09,laborable,,
2016-12-10,sábado,,
2016-12-11,domingo,,
2016-12-12,laborable,,
2016-12-13,laborable,,
2016-12-14,laborable,,
2016-12-15,laborable,,
2016-12-16,laborable,,
2016-12-17,sábado,,
2016-12-18,domingo,,
2016-12-19,laborable,,
2016-12-20,laborable,,
2016-12-21,laborable,,
2016-12-22,laborable,,
2016-12-23,laborable,,
2016-12-24,sábado,,
2016-12-25,domingo,,
2016-12-26,festivo,Festivo nacional,Traslado Natividad del Señor
2016-12-27,laborable,,
2016-12-28,laborable,,
2016-12-29,laborable,,
2016-12-30,laborable,,
2016-12-31,sábado,,
2017-01-01,domingo,,
2017-01-02,laborable,,
2017-01-03,laborable,,
2017-01-04,laborable,,
2017-01-05,laborable,,
2017-01-06,festivo,Festivo nacional,Epifania del Señor
2017-01-07,sábado,,
2017-01-08,domingo,,
2017-01-09,laborable,,
2017-01-10,laborable,,
2017-01-11,laborable,,
2017-01-12,laborable,,
2017-01-13,laborable,,
2017-01-14,sábado,,
2017-01-15,domingo,,
2017-01-16,laborable,,
2017-01-17,laborable,,
2017-01-18,laborable,,
2017-01-19,laborable,,
2017-01-20,laborable,,
2017-01-21,sábado,,
2017-01-22,domingo,,
2017-01-23,laborable,,
2017-01-24,laborable,,
2017-01-25,laborable,,
2017-01-26,laborable,,
2017-01-27,laborable,,
2017-01-28,sábado,,
2017-01-29,domingo,,
2017-01-30,laborable,,
2017-01-31,laborable,,
2017-02-01,laborable,,
2017-02-02,laborable,,
2017-02-03,laborable,,
2017-02-04,sábado,,
2017-02-05,domingo,,
2017-02-06,laborable,,
2017-02-07,laborable,,
2017-02-08,laborable,,
2017-02-09,laborable,,
2017-02-10,laborable,,
2017-02-11,sábado,,
2017-02-12,domingo,,
2017-02-13,laborable,,
2017-02-14,laborable,,
2017-02-15,laborable,,
2017-02-16,laborable,,
2017-02-17,laborable,,
2017-02-18,sábado,,
2017-02-19,domingo,,
2017-02-20,laborable,,
2017-02-21,laborable,,
2017-02-22,laborable,,
2017-02-23,laborable,,
2017-02-24,laborable,,
2017-02-25,sábado,,
2017-02-26,domingo,,
2017-02-27,laborable,,
2017-02-28,laborable,,
2017-03-01,laborable,,
2017-03-02,laborable,,
2017-03-03,laborable,,
2017-03-04,sábado,,
2017-03-05,domingo,,
2017-03-06,laborable,,
2017-03-07,laborable,,
2017-03-08,laborable,,
2017-03-09,laborable,,
2017-03-10,laborable,,
2017-03-11,sábado,,
2017-03-12,domingo,,
2017-03-13,laborable,,
2017-03-14,laborable,,
2017-03-15,laborable,,
2017-03-16,laborable,,
2017-03-17,laborable,,
2017-03-18,sábado,,
2017-03-19,domingo,,
2017-03-20,festivo,Festivo de la comunidad de Madrid,Traslado de la festividad de San Jose
2017-03-21,laborable,,
2017-03-22,laborable,,
2017-03-23,laborable,,
2017-03-24,laborable,,
2017-03-25,sábado,,
2017-03-26,domingo,,
2017-03-27,laborable,,
2017-03-28,laborable,,
2017-03-29,laborable,,
2017-03-30,laborable,,
2017-03-31,laborable,,
2017-04-01,sábado,,
2017-04-02,domingo,,
2017-04-03,laborable,,
2017-04-04,laborable,,
2017-04-05,laborable,,
2017-04-06,laborable,,
2017-04-07,laborable,,
2017-04-08,sábado,,
2017-04-09,domingo,,
2017-04-10,laborable,,
2017-04-11,laborable,,
2017-04-12,laborable,,
2017-04-13,festivo,Festivo de la comunidad de Madrid,Jueves Santo
2017-04-14,festivo,Festivo nacional,Viernes Santo
2017-04-15,sábado,,
2017-04-16,domingo,,
2017-04-17,laborable,,
2017-04-18,laborable,,
2017-04-19,laborable,,
2017-04-20,laborable,,
2017-04-21,laborable,,
2017-04-22,sábado,,
2017-04-23,domingo,,
2017-04-24,laborable,,
2017-04-25,laborable,,
2017-04-26,laborable,,
2017-04-27,laborable,,
2017-04-28,laborable,,
2017-04-29,sábado,,
2017-04-30,domingo,,
2017-05-01,festivo,Festivo nacional,Fiesta del Trabajo
2017-05-02,festivo,Festivo de la Comunidad de Madrid,Dos de Mayo. Fiesta de la Comunidad de Madrid
2017-05-03,laborable,,
2017-05-04,laborable,,
2017-05-05,laborable,,
2017-05-06,sábado,,
2017-05-07,domingo,,
2017-05-08,laborable,,
2017-05-09,laborable,,
2017-05-10,laborable,,
2017-05-11,laborable,,
2017-05-12,laborable,,
2017-05-13,sábado,,
2017-05-14,domingo,,
2017-05-15,festivo,Festivo local de la ciudad de Madrid,San Isidro Labrador
2017-05-16,laborable,,
2017-05-17,laborable,,
2017-05-18,laborable,,
2017-05-19,laborable,,
2017-05-20,sábado,,
2017-05-21,domingo,,
2017-05-22,laborable,,
2017-05-23,laborable,,
2017-05-24,laborable,,
2017-05-25,laborable,,
2017-05-26,laborable,,
2017-05-27,sábado,,
2017-05-28,domingo,,
2017-05-29,laborable,,
2017-05-30,laborable,,
2017-05-31,laborable,,
2017-06-01,laborable,,
2017-06-02,laborable,,
2017-06-03,sábado,,
2017-06-04,domingo,,
2017-06-05,laborable,,
2017-06-06,laborable,,
2017-06-07,laborable,,
2017-06-08,laborable,,
2017-06-09,laborable,,
2017-06-10,sábado,,
2017-06-11,domingo,,
2017-06-12,laborable,,
2017-06-13,laborable,,
2017-06-14,laborable,,
2017-06-15,laborable,,
2017-06-16,laborable,,
2017-06-17,sábado,,
2017-06-18,domingo,,
2017-06-19,laborable,,
2017-06-20,laborable,,
2017-06-21,laborable,,
2017-06-22,laborable,,
2017-06-23,laborable,,
2017-06-24,sábado,,
2017-06-25,domingo,,
2017-06-26,laborable,,
2017-06-27,laborable,,
2017-06-28,laborable,,
2017-06-29,laborable,,
2017-06-30,laborable,,
2017-07-01,sábado,,
2017-07-02,domingo,,
2017-07-03,laborable,,
2017-07-04,laborable,,
2017-07-05,laborable,,
2017-07-06,laborable,,
2017-07-07,laborable,,
2017-07-08,sábado,,
2017-07-09,domingo,,
2017-07-10,laborable,,
2017-07-11,laborable,,
2017-07-12,laborable,,
2017-07-13,laborable,,
2017-07-14,laborable,,
2017-07-15,sábado,,
2017-07-16,domingo,,
